Model,Budgets Tested,Avg Failure Rate,Avg Tokens/Failure,Avg Turns/Failure,Avg Sessions/Failure
mock_baseline,"50,000, 100,000, 250,000",52.2%,"7,489",3.4,1.9
mock_lenient,"50,000, 100,000, 250,000",55.7%,"6,524",2.9,1.8
mock_strict,"50,000, 100,000, 250,000",57.8%,"8,333",3.8,1.8
